road_length,density,velocity,std,std_error,ci_lower,ci_upper,n_samples
16,0.05,1.625,0,0,1.625,1.625,1
16,0.1,1.625,0,0,1.625,1.625,1
16,0.15,1.625,0,0,1.625,1.625,1
16,0.2,1.625,0,0,1.625,1.625,1
16,0.25,1.6241015625000004,0,0,1.6241015625000004,1.6241015625000004,1
16,0.3,1.6016221788194447,0,0,1.6016221788194447,1.6016221788194447,1
16,0.35,1.5596865699404763,0,0,1.5596865699404763,1.5596865699404763,1
16,0.4,1.4697998046875,0,0,1.4697998046875,1.4697998046875,1
16,0.45,1.346947337962963,0,0,1.346947337962963,1.346947337962963,1
16,0.5,1.2375130208333334,0,0,1.2375130208333334,1.2375130208333334,1
16,0.55,1.1361860795454546,0,0,1.1361860795454546,1.1361860795454546,1
16,0.6,1.0512369791666667,0,0,1.0512369791666667,1.0512369791666667,1
16,0.65,0.9839017427884615,0,0,0.9839017427884615,0.9839017427884615,1
16,0.7,0.9226818266369048,0,0,0.9226818266369048,0.9226818266369048,1
16,0.75,0.8363932291666668,0,0,0.8363932291666668,0.8363932291666668,1
16,0.8,0.699493408203125,0,0,0.699493408203125,0.699493408203125,1
16,0.85,0.5246591605392157,0,0,0.5246591605392157,0.5246591605392157,1
16,0.9,0.3180881076388889,0,0,0.3180881076388889,0.3180881076388889,1
