speed_percentage,density,velocity,std,std_error,ci_lower,ci_upper,n_samples
50,0.1,0.981328814627995,0,0,0.981328814627995,0.981328814627995,1
75,0.1,1.0017339218158892,0,0,1.0017339218158892,1.0017339218158892,1
100,0.1,1.7233843001261036,0,0,1.7233843001261036,1.7233843001261036,1
50,0.2,0.9571951795841211,0,0,0.9571951795841211,0.9571951795841211,1
75,0.2,0.9577504725897921,0,0,0.9577504725897921,0.9577504725897921,1
100,0.2,1.0509727473219912,0,0,1.0509727473219912,1.0509727473219912,1
50,0.3,0.016239495798319327,0,0,0.016239495798319327,0.016239495798319327,1
75,0.3,0.023434873949579833,0,0,0.023434873949579833,0.023434873949579833,1
100,0.3,0.022914915966386555,0,0,0.022914915966386555,0.022914915966386555,1
50,0.4,0.0019258034026465032,0,0,0.0019258034026465032,0.0019258034026465032,1
75,0.4,0.0020537964713295527,0,0,0.0020537964713295527,0.0020537964713295527,1
100,0.4,0.0006596565847511027,0,0,0.0006596565847511027,0.0006596565847511027,1
50,0.5,0.0017184349798387098,0,0,0.0017184349798387098,0.0017184349798387098,1
75,0.5,0.0013435609879032257,0,0,0.0013435609879032257,0.0013435609879032257,1
100,0.5,0.0011214717741935484,0,0,0.0011214717741935484,0.0011214717741935484,1
50,0.6,0.0013048729258559127,0,0,0.0013048729258559127,0.0013048729258559127,1
75,0.6,0.0011237135055660575,0,0,0.0011237135055660575,0.0011237135055660575,1
100,0.6,0.0006891934467548834,0,0,0.0006891934467548834,0.0006891934467548834,1
50,0.7,0.0004984248424842484,0,0,0.0004984248424842484,0.0004984248424842484,1
75,0.7,0.0008292079207920793,0,0,0.0008292079207920793,0.0008292079207920793,1
100,0.7,0.0007752025202520252,0,0,0.0007752025202520252,0.0007752025202520252,1
50,0.8,0.0006882088846880906,0,0,0.0006882088846880906,0.0006882088846880906,1
75,0.8,0.0007354678638941398,0,0,0.0007354678638941398,0.0007354678638941398,1
100,0.8,0.0011027095148078135,0,0,0.0011027095148078135,0.0011027095148078135,1
50,0.9,0.0004060487258471016,0,0,0.0004060487258471016,0.0004060487258471016,1
75,0.9,7.000840100812098e-06,0,0,7.000840100812098e-06,7.000840100812098e-06,1
100,0.9,0.00013301596191542985,0,0,0.00013301596191542985,0.00013301596191542985,1
